Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-11-18 gpuuva065  scur1698                39.0             0.0
2025-11-19 gpuuva065  scur1698                53.3             0.0
2025-11-20 gpuuva065  scur1698              1788.1             0.0
2025-11-22 gpuuva065  scur1698                65.1             0.0
2025-11-29 gpuuva065  scur1698              1463.5             0.0
2025-11-30 gpuuva065  scur1698             17529.7             0.0
2025-12-01 gpuuva065  scur1698              1040.5             0.0
2025-12-02 gpuuva065  scur1698             69940.6             0.0
2025-12-03 gpuuva065  scur1698              1046.6             0.0
2025-12-05 gpuuva065  scur1698              1381.5             0.0
2025-12-06 gpuuva065  scur1698               716.2             0.0
2025-12-08 gpuuva065  scur1698                89.0             0.0
Totals for this user                       98257.1             0.0

2025-11-06 gpuuva065  scur1700                24.5             0.0
2025-11-10 gpuuva065  scur1700               881.0             0.0
2025-11-13 gpuuva065  scur1700               105.1             0.0
2025-11-17 gpuuva065  scur1700                44.4             0.0
2025-11-18 gpuuva065  scur1700                71.8             0.0
2025-11-23 gpuuva065  scur1700                61.4             0.0
2025-12-02 gpuuva065  scur1700               346.1             0.0
2025-12-03 gpuuva065  scur1700                59.4             0.0
2025-12-04 gpuuva065  scur1700                55.8             0.0
2025-12-05 gpuuva065  scur1700               558.0             0.0
2025-12-06 gpuuva065  scur1700                 1.5             0.0
2025-12-08 gpuuva065  scur1700               308.1             0.0
2025-12-10 gpuuva065  scur1700                11.6             0.0
2025-12-11 gpuuva065  scur1700                15.3             0.0
2025-12-19 gpuuva065  scur1700                 2.7             0.0
Totals for this user                        2546.6             0.0

2025-11-10 gpuuva065  scur1701                55.2             0.0
2025-11-11 gpuuva065  scur1701               252.1             0.0
2025-11-17 gpuuva065  scur1701               167.9             0.0
2025-11-18 gpuuva065  scur1701               283.2             0.0
2025-11-23 gpuuva065  scur1701               183.9             0.0
2025-11-24 gpuuva065  scur1701               407.3             0.0
2025-12-03 gpuuva065  scur1701               276.7             0.0
2025-12-04 gpuuva065  scur1701               458.8             0.0
2025-12-07 gpuuva065  scur1701               280.4             0.0
2025-12-09 gpuuva065  scur1701               375.4             0.0
2025-12-10 gpuuva065  scur1701               809.3             0.0
2025-12-11 gpuuva065  scur1701               519.1             0.0
2025-12-12 gpuuva065  scur1701                93.2             0.0
Totals for this user                        4162.5             0.0

